Country Name,Country Code,Indicator Name,GDP_2012,GDP_per_capita_2012
Trinidad and Tobago,TTO,GDP (current US$),25769329445,19161.95991
Tunisia,TUN,GDP (current US$),45044112939,4152.678587
Turkey,TUR,GDP (current US$),8.74E+11,11707.25971
Tuvalu,TUV,GDP (current US$),37671734.49,3507.936911
Tanzania,TZA,GDP (current US$),39650530214,867.8676806
Uganda,UGA,GDP (current US$),23114293416,668.832462
Ukraine,UKR,GDP (current US$),1.76E+11,3855.42128
Upper middle income,UMC,GDP (current US$),2.03E+13,8009.525571
Uruguay,URY,GDP (current US$),51264390116,15171.58466
United States,USA,GDP (current US$),1.62E+13,51603.49726
Uzbekistan,UZB,GDP (current US$),51821573338,1740.468298
St. Vincent and the Grenadines,VCT,GDP (current US$),692933740.7,6390.314389
"Venezuela, RB",VEN,GDP (current US$),3.81E+11,12985.50533
British Virgin Islands,VGB,GDP (current US$),,
Virgin Islands (U.S.),VIR,GDP (current US$),4095000000,37849.72872
Vietnam,VNM,GDP (current US$),1.56E+11,1735.141276
Vanuatu,VUT,GDP (current US$),781702874.1,3133.090209
World,WLD,GDP (current US$),7.50E+13,10589.22672
Samoa,WSM,GDP (current US$),801168622.3,4237.01463
Kosovo,XKX,GDP (current US$),6499935757,3600.673475
"Yemen, Rep.",YEM,GDP (current US$),35401339869,1446.53628
South Africa,ZAF,GDP (current US$),3.96E+11,7501.378614
Zambia,ZMB,GDP (current US$),25503370699,1763.094184
Zimbabwe,ZWE,GDP (current US$),17114849900,1304.969802
